                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1574,                 3.3674,                 1.0687,                0.00412,                0.97073,                 0.3903,                0.27917,                0.82549,                 3.2946,                0.86765,             0.00015719,             0.00015719,             0.00015719
                      2,                0.96489,                 2.0159,                0.99246,                0.00413,                0.98065,                0.74548,                0.51224,                0.90017,                    3.1,                 0.8749,             0.00031782,             0.00031782,             0.00031782
                      3,                 0.9267,                 1.4178,                0.97143,                0.98109,                0.29456,                 0.8799,                0.62439,                0.88982,                 3.0343,                0.87015,             0.00046714,             0.00046714,             0.00046714
                      4,                0.93539,                 1.2735,                0.97552,                0.90844,                0.29741,                0.71876,                0.49174,                0.93598,                 3.2683,                0.93257,             0.00060514,             0.00060514,             0.00060514
                      5,                 0.8788,                 1.1957,                0.97162,                      1,                0.05847,                0.90146,                0.68802,                0.86189,                 3.0264,                0.92493,             0.00073182,             0.00073182,             0.00073182
                      6,                0.88201,                 1.1226,                0.97257,                0.94134,                0.33267,                0.88323,                0.67561,                0.85563,                 2.6865,                0.95711,             0.00084718,             0.00084718,             0.00084718
                      7,                0.89964,                 1.1073,                0.98593,                0.96729,                0.82929,                0.97261,                0.72336,                0.87085,                 2.1846,                 1.0024,             0.00095123,             0.00095123,             0.00095123
                      8,                0.87979,                 1.0435,                 1.0032,                0.99157,                0.92287,                 0.9905,                0.79081,                 0.7943,                 1.9481,                0.95219,               0.001044,               0.001044,               0.001044
                      9,                0.83577,                0.98928,                0.97131,                0.98217,                0.98076,                0.98695,                0.77969,                 0.7824,                 1.2511,                0.96101,              0.0010517,              0.0010517,              0.0010517
                     10,                 0.8512,                0.99569,                0.99279,                0.97912,                0.97573,                0.99328,                0.77606,                0.77604,                 1.2516,                0.96972,              0.0010046,              0.0010046,              0.0010046
                     11,                0.85103,                0.98073,                0.99297,                0.98777,                 0.9919,                0.99347,                0.80893,                0.74368,                0.97006,                0.94502,             0.00095743,             0.00095743,             0.00095743
                     12,                0.83688,                 0.9346,                0.99973,                0.98179,                 0.9881,                0.99462,                 0.7873,                0.78235,                 1.0015,                0.96855,             0.00091027,             0.00091027,             0.00091027
                     13,                0.83949,                0.88181,                0.98798,                0.98875,                0.99411,                0.99487,                0.81987,                0.69484,                0.85628,                0.92964,             0.00086312,             0.00086312,             0.00086312
                     14,                0.80881,                0.82758,                0.96649,                0.99287,                0.99454,                  0.995,                0.81811,                0.72811,                 0.8531,                0.95314,             0.00081596,             0.00081596,             0.00081596
                     15,                0.80856,                0.83995,                0.98436,                0.98537,                0.99627,                0.99485,                0.80319,                0.70973,                0.84577,                0.94262,              0.0007688,              0.0007688,              0.0007688
                     16,                0.76169,                0.81742,                0.94673,                0.98917,                0.97186,                  0.993,                0.80727,                0.69682,                0.76157,                0.92984,             0.00072164,             0.00072164,             0.00072164
                     17,                0.81628,                0.81999,                0.96945,                0.98331,                      1,                0.99349,                0.82114,                0.68227,                 0.7323,                0.92756,             0.00067449,             0.00067449,             0.00067449
                     18,                 0.7823,                0.77873,                0.95686,                0.99347,                0.99663,                0.99465,                0.82578,                 0.6717,                0.70517,                0.92653,             0.00062733,             0.00062733,             0.00062733
                     19,                0.77326,                0.71939,                0.94274,                0.98584,                0.99639,                0.99352,                0.82231,                0.67993,                 0.7064,                0.93373,             0.00058017,             0.00058017,             0.00058017
                     20,                0.75773,                0.70805,                0.94995,                0.98075,                0.99427,                0.99425,                0.82236,                0.67058,                0.67044,                0.93359,             0.00053302,             0.00053302,             0.00053302
                     21,                0.72516,                0.91863,                0.93716,                0.98831,                      1,                0.99488,                0.82627,                0.67215,                0.82529,                0.92864,             0.00048586,             0.00048586,             0.00048586
                     22,                 0.7205,                0.92236,                0.93003,                0.99032,                      1,                0.99457,                0.82855,                0.65575,                 0.6723,                0.92676,              0.0004387,              0.0004387,              0.0004387
                     23,                0.67754,                0.83732,                0.93699,                0.98365,                0.99939,                0.99436,                0.83977,                 0.6228,                0.62787,                0.90902,             0.00039155,             0.00039155,             0.00039155
                     24,                0.67742,                0.81726,                0.91415,                0.98966,                0.99943,                0.99491,                0.83843,                0.61867,                0.64077,                0.90554,             0.00034439,             0.00034439,             0.00034439
                     25,                0.66614,                0.78788,                0.92655,                0.99348,                      1,                0.99465,                0.83838,                0.62017,                0.62032,                0.90792,             0.00029723,             0.00029723,             0.00029723
                     26,                0.66541,                0.76223,                0.91643,                 0.9907,                      1,                0.99433,                0.85701,                0.59098,                0.59384,                0.89595,             0.00025007,             0.00025007,             0.00025007
                     27,                0.65475,                0.74705,                0.91702,                0.99319,                0.99745,                0.99484,                0.85608,                0.59731,                0.58803,                0.90029,             0.00020292,             0.00020292,             0.00020292
                     28,                0.64951,                0.74144,                0.92039,                0.99249,                      1,                0.99484,                0.86482,                0.57424,                 0.5738,                0.89059,             0.00015576,             0.00015576,             0.00015576
                     29,                0.61943,                 0.7111,                 0.8872,                0.99408,                0.99959,                0.99488,                0.86207,                0.56785,                0.56462,                0.88857,              0.0001086,              0.0001086,              0.0001086
                     30,                0.62494,                0.72592,                0.90107,                0.99405,                0.99929,                0.99496,                 0.8647,                0.56584,                0.55791,                 0.8876,             6.1447e-05,             6.1447e-05,             6.1447e-05
